xVals,yVals
0,0.9437
0.0009276,0.9437
0.001855,0.9465
0.002783,0.9465
0.003711,0.9465
0.004638,0.9465
0.005566,0.9465
0.006494,0.9465
0.007421,0.9465
0.008349,0.9465
0.009276,0.9492
0.0102,0.9492
0.01113,0.9492
0.01206,0.9492
0.01299,0.9492
0.01391,0.9492
0.01484,0.9528
0.01577,0.9528
0.0167,0.9528
0.01763,0.9528
0.01855,0.9528
0.01948,0.9528
0.02041,0.9528
0.02134,0.9528
0.02226,0.9546
0.02319,0.9555
0.02412,0.9555
0.02505,0.9555
0.02597,0.9555
0.0269,0.9564
0.02783,0.9564
0.02876,0.9564
0.02968,0.9564
0.03061,0.9564
0.03154,0.9564
0.03247,0.9564
0.0334,0.9564
0.03432,0.9564
0.03525,0.9574
0.03618,0.9574
0.03711,0.9574
0.03803,0.9574
0.03896,0.9583
0.03989,0.9583
0.04082,0.9583
0.04174,0.9583
0.04267,0.9583
0.0436,0.9583
0.04453,0.9583
0.04545,0.9583
0.04638,0.9583
0.04731,0.9592
0.04824,0.9601
0.04917,0.9601
0.05009,0.9601
0.05102,0.9601
0.05195,0.9601
0.05288,0.9601
0.0538,0.9601
0.05473,0.9601
0.05566,0.9601
0.05659,0.9601
0.05751,0.9601
0.05844,0.9601
0.05937,0.9601
0.0603,0.961
0.06122,0.961
0.06215,0.961
0.06308,0.961
0.06401,0.9601
0.06494,0.9592
0.06586,0.9592
0.06679,0.9592
0.06772,0.9592
0.06865,0.9592
0.06957,0.9592
0.0705,0.9592
0.07143,0.9592
0.07236,0.9574
0.07328,0.9574
0.07421,0.9574
0.07514,0.9574
0.07607,0.9574
0.07699,0.9555
0.07792,0.9555
0.07885,0.9555
0.07978,0.9555
0.08071,0.9555
0.08163,0.9555
0.08256,0.9555
0.08349,0.9555
0.08442,0.9555
0.08534,0.9537
0.08627,0.9537
0.0872,0.9537
0.08813,0.9537
0.08905,0.9501
0.08998,0.9501
0.09091,0.9501
0.09184,0.9501
0.09276,0.9501
0.09369,0.9501
0.09462,0.9501
0.09555,0.9501
0.09647,0.9501
0.0974,0.9465
0.09833,0.9465
0.09926,0.9465
0.1002,0.9465
0.1011,0.9465
0.102,0.9392
0.103,0.9392
0.1039,0.9392
0.1048,0.9392
0.1058,0.9392
0.1067,0.9392
0.1076,0.9392
0.1085,0.9392
0.1095,0.9401
0.1104,0.9328
0.1113,0.9328
0.1122,0.9328
0.1132,0.9328
