Energy[keV],EffectiveArea[cm²]
0,0
0.01001,0
0.02002,0
0.03003,0
0.04004,0
0.05005,0
0.06006,0
0.07007,0
0.08008,0
0.09009,0
0.1001,11.78
0.1101,11.76
0.1201,11.71
0.1301,11.64
0.1401,11.59
0.1502,11.53
0.1602,11.46
0.1702,11.41
0.1802,11.35
0.1902,11.28
0.2002,11.13
0.2102,10.93
0.2202,10.61
0.2302,10.27
0.2402,9.91
0.2503,9.56
0.2603,9.21
0.2703,8.852
0.2803,8.51
0.2903,8.152
0.3003,7.949
0.3103,7.892
0.3203,8.014
0.3303,8.16
0.3403,8.307
0.3504,8.453
0.3604,8.583
0.3704,8.73
0.3804,8.876
0.3904,9.023
0.4004,9.112
0.4104,9.202
0.4204,9.242
0.4304,9.275
0.4404,9.307
0.4505,9.34
0.4605,9.373
0.4705,9.405
0.4805,9.446
0.4905,9.486
0.5005,9.511
0.5105,9.535
0.5205,9.552
0.5305,9.568
0.5405,9.576
0.5506,9.592
0.5606,9.609
0.5706,9.625
0.5806,9.641
0.5906,9.657
0.6006,9.665
0.6106,9.682
0.6206,9.698
0.6306,9.706
0.6406,9.714
0.6507,9.731
0.6607,9.747
0.6707,9.747
0.6807,9.763
0.6907,9.779
0.7007,9.788
0.7107,9.796
0.7207,9.804
0.7307,9.812
0.7407,9.828
0.7508,9.836
0.7608,9.844
0.7708,9.861
0.7808,9.869
0.7908,9.877
0.8008,9.885
0.8108,9.893
0.8208,9.91
0.8308,9.918
0.8408,9.926
0.8509,9.934
0.8609,9.942
0.8709,9.958
0.8809,9.966
0.8909,9.975
0.9009,9.983
0.9109,9.991
0.9209,9.999
0.9309,10.01
0.9409,10.02
0.951,10.02
0.961,10.02
0.971,10.03
0.981,10.04
0.991,10.05
1.001,10.05
1.011,10.06
1.021,10.06
1.031,10.06
1.041,10.08
1.051,10.08
1.061,10.08
1.071,10.09
1.081,10.1
1.091,10.1
1.101,10.1
1.111,10.11
1.121,10.11
1.131,10.11
1.141,10.11
1.151,10.12
1.161,10.13
1.171,10.13
1.181,10.13
1.191,10.13
1.201,10.13
1.211,10.15
1.221,10.15
1.231,10.15
1.241,10.15
1.251,10.15
1.261,10.15
1.271,10.15
1.281,10.15
1.291,10.15
1.301,10.15
1.311,10.16
1.321,10.16
1.331,10.16
1.341,10.16
1.351,10.16
1.361,10.16
1.371,10.16
1.381,10.16
1.391,10.16
1.401,10.16
1.411,10.16
1.421,10.16
1.431,10.15
1.441,10.15
1.451,10.15
1.461,10.15
1.471,10.15
1.481,10.15
1.491,10.15
1.502,10.15
1.512,10.14
1.522,10.13
1.532,10.13
1.542,10.13
1.552,10.13
1.562,10.13
1.572,10.11
1.582,10.11
1.592,10.11
1.602,10.11
1.612,10.1
1.622,10.1
1.632,10.09
1.642,10.08
1.652,10.08
1.662,10.07
1.672,10.06
1.682,10.06
1.692,10.06
1.702,10.05
1.712,10.04
1.722,10.02
1.732,10.02
1.742,10.01
1.752,9.999
1.762,9.991
1.772,9.975
1.782,9.966
1.792,9.958
1.802,9.942
1.812,9.926
1.822,9.91
1.832,9.91
1.842,9.893
1.852,9.877
1.862,9.861
1.872,9.844
1.882,9.836
1.892,9.82
1.902,9.804
1.912,9.771
1.922,9.755
1.932,9.739
1.942,9.714
1.952,9.69
1.962,9.674
1.972,9.649
1.982,9.609
1.992,9.568
2.002,9.503
2.012,9.438
2.022,9.356
2.032,9.291
2.042,9.226
2.052,9.161
2.062,9.096
2.072,9.023
2.082,8.876
2.092,8.73
2.102,8.494
2.112,8.266
2.122,8.03
2.132,7.802
2.142,7.566
2.152,7.339
2.162,7.103
2.172,6.875
2.182,6.753
2.192,6.68
2.202,6.72
2.212,6.769
2.222,6.81
2.232,6.859
2.242,6.907
2.252,6.948
2.262,6.997
2.272,7.038
2.282,7.078
2.292,7.111
2.302,7.135
2.312,7.168
2.322,7.192
2.332,7.217
2.342,7.249
2.352,7.265
2.362,7.298
2.372,7.322
2.382,7.339
2.392,7.347
2.402,7.355
2.412,7.363
2.422,7.363
2.432,7.371
2.442,7.379
2.452,7.379
2.462,7.387
2.472,7.396
2.482,7.396
2.492,7.387
2.503,7.379
2.513,7.371
2.523,7.363
2.533,7.355
2.543,7.347
2.553,7.339
2.563,7.33
2.573,7.322
2.583,7.298
2.593,7.265
2.603,7.217
2.613,7.168
2.623,7.127
2.633,7.086
2.643,7.038
2.653,6.997
2.663,6.956
2.673,6.916
2.683,6.899
2.693,6.916
2.703,6.924
2.713,6.932
2.723,6.94
2.733,6.948
2.743,6.964
2.753,6.972
2.763,6.981
2.773,6.989
2.783,6.989
2.793,6.989
2.803,6.981
2.813,6.972
2.823,6.972
2.833,6.964
2.843,6.956
2.853,6.956
2.863,6.948
2.873,6.94
2.883,6.932
2.893,6.916
2.903,6.899
2.913,6.891
2.923,6.883
2.933,6.867
2.943,6.85
2.953,6.834
2.963,6.834
2.973,6.81
2.983,6.785
2.993,6.753
3.003,6.728
3.013,6.696
3.023,6.671
3.033,6.639
3.043,6.606
3.053,6.574
3.063,6.549
3.073,6.525
3.083,6.509
3.093,6.501
3.103,6.492
3.113,6.476
3.123,6.468
3.133,6.46
3.143,6.452
3.153,6.444
3.163,6.427
3.173,6.411
3.183,6.395
3.193,6.379
3.203,6.354
3.213,6.338
3.223,6.322
3.233,6.297
3.243,6.273
3.253,6.257
3.263,6.24
3.273,6.208
3.283,6.191
3.293,6.159
3.303,6.143
3.313,6.11
3.323,6.094
3.333,6.061
3.343,6.045
3.353,6.012
3.363,5.996
3.373,5.972
3.383,5.955
3.393,5.939
3.403,5.923
3.413,5.907
3.423,5.89
3.433,5.874
3.443,5.858
3.453,5.842
3.463,5.825
3.473,5.809
3.483,5.793
3.493,5.768
3.504,5.752
3.514,5.736
3.524,5.711
3.534,5.695
3.544,5.679
3.554,5.654
3.564,5.638
3.574,5.622
3.584,5.598
3.594,5.573
3.604,5.557
3.614,5.541
3.624,5.516
3.634,5.492
3.644,5.475
3.654,5.459
3.664,5.435
3.674,5.41
3.684,5.394
3.694,5.37
3.704,5.345
3.714,5.329
3.724,5.305
3.734,5.28
3.744,5.264
3.754,5.24
3.764,5.215
3.774,5.199
3.784,5.174
3.794,5.15
3.804,5.134
3.814,5.109
3.824,5.085
3.834,5.069
3.844,5.036
3.854,5.02
3.864,5.004
3.874,4.971
3.884,4.955
3.894,4.938
3.904,4.906
3.914,4.89
3.924,4.865
3.934,4.841
3.944,4.825
3.954,4.8
3.964,4.776
3.974,4.76
3.984,4.735
3.994,4.719
4.004,4.694
4.014,4.678
4.024,4.654
4.034,4.629
4.044,4.613
4.054,4.597
4.064,4.572
4.074,4.548
4.084,4.532
4.094,4.515
4.104,4.491
4.114,4.475
4.124,4.45
4.134,4.434
4.144,4.418
4.154,4.393
4.164,4.377
4.174,4.361
4.184,4.336
4.194,4.32
4.204,4.304
4.214,4.288
4.224,4.263
4.234,4.247
4.244,4.231
4.254,4.214
4.264,4.198
4.274,4.182
4.284,4.166
4.294,4.149
4.304,4.133
4.314,4.117
4.324,4.1
4.334,4.084
4.344,4.068
4.354,4.052
4.364,4.035
4.374,4.019
4.384,4.003
4.394,3.987
4.404,3.97
4.414,3.954
4.424,3.938
4.434,3.93
4.444,3.922
4.454,3.905
4.464,3.889
4.474,3.873
4.484,3.856
4.494,3.84
4.505,3.84
4.515,3.824
4.525,3.808
4.535,3.791
4.545,3.775
4.555,3.759
4.565,3.751
4.575,3.743
4.585,3.726
4.595,3.71
4.605,3.694
4.615,3.694
4.625,3.677
4.635,3.661
4.645,3.645
4.655,3.637
4.665,3.629
4.675,3.612
4.685,3.604
4.695,3.596
4.705,3.58
4.715,3.564
4.725,3.564
4.735,3.547
4.745,3.531
4.755,3.523
4.765,3.515
4.775,3.507
4.785,3.498
4.795,3.482
4.805,3.474
4.815,3.466
4.825,3.458
4.835,3.45
4.845,3.433
4.855,3.425
4.865,3.417
4.875,3.409
4.885,3.401
4.895,3.393
4.905,3.385
4.915,3.376
4.925,3.368
4.935,3.36
4.945,3.352
4.955,3.344
4.965,3.336
4.975,3.328
4.985,3.319
4.995,3.311
5.005,3.303
5.015,3.295
5.025,3.287
5.035,3.279
5.045,3.271
5.055,3.263
5.065,3.254
5.075,3.246
5.085,3.238
5.095,3.23
5.105,3.222
5.115,3.214
5.125,3.206
5.135,3.197
5.145,3.189
5.155,3.181
5.165,3.173
5.175,3.165
5.185,3.157
5.195,3.149
5.205,3.14
5.215,3.132
5.225,3.124
5.235,3.116
5.245,3.108
5.255,3.092
5.265,3.084
5.275,3.075
5.285,3.067
5.295,3.059
5.305,3.051
5.315,3.043
5.325,3.027
5.335,3.018
5.345,3.01
5.355,3.002
5.365,2.994
5.375,2.978
5.385,2.97
5.395,2.961
5.405,2.953
5.415,2.945
5.425,2.929
5.435,2.921
5.445,2.913
5.455,2.905
5.465,2.896
5.475,2.88
5.485,2.872
5.495,2.864
5.506,2.848
5.516,2.848
5.526,2.831
5.536,2.823
5.546,2.815
5.556,2.799
5.566,2.782
5.576,2.782
5.586,2.766
5.596,2.75
5.606,2.734
5.616,2.734
5.626,2.717
5.636,2.701
5.646,2.685
5.656,2.685
5.666,2.669
5.676,2.652
5.686,2.636
5.696,2.628
5.706,2.62
5.716,2.603
5.726,2.587
5.736,2.571
5.746,2.563
5.756,2.555
5.766,2.538
5.776,2.522
5.786,2.506
5.796,2.49
5.806,2.49
5.816,2.473
5.826,2.457
5.836,2.441
5.846,2.425
5.856,2.408
5.866,2.408
5.876,2.392
5.886,2.376
5.896,2.359
5.906,2.343
5.916,2.327
5.926,2.327
5.936,2.311
5.946,2.294
5.956,2.278
5.966,2.262
5.976,2.246
5.986,2.229
5.996,2.229
6.006,2.213
6.016,2.197
6.026,2.18
6.036,2.164
6.046,2.148
6.056,2.148
6.066,2.132
6.076,2.115
6.086,2.099
6.096,2.083
6.106,2.075
6.116,2.067
6.126,2.05
6.136,2.034
6.146,2.018
6.156,2.001
6.166,2.001
6.176,1.985
6.186,1.969
6.196,1.953
6.206,1.944
6.216,1.936
6.226,1.92
6.236,1.904
6.246,1.888
6.256,1.888
6.266,1.871
6.276,1.855
6.286,1.839
6.296,1.831
6.306,1.822
6.316,1.806
6.326,1.79
6.336,1.782
6.346,1.774
6.356,1.757
6.366,1.741
6.376,1.725
6.386,1.717
6.396,1.709
6.406,1.692
6.416,1.676
6.426,1.66
6.436,1.643
6.446,1.643
6.456,1.627
6.466,1.611
6.476,1.595
6.486,1.578
6.496,1.578
6.507,1.562
6.517,1.546
6.527,1.53
6.537,1.513
6.547,1.513
6.557,1.497
6.567,1.481
6.577,1.464
6.587,1.464
6.597,1.448
6.607,1.432
6.617,1.416
6.627,1.408
6.637,1.399
6.647,1.383
6.657,1.367
6.667,1.351
6.677,1.342
6.687,1.334
6.697,1.318
6.707,1.302
6.717,1.285
6.727,1.277
6.737,1.269
6.747,1.253
6.757,1.237
6.767,1.22
6.777,1.22
6.787,1.204
6.797,1.188
6.807,1.172
6.817,1.155
6.827,1.155
6.837,1.139
6.847,1.123
6.857,1.106
6.867,1.098
6.877,1.09
6.887,1.074
6.897,1.058
6.907,1.041
6.917,1.041
6.927,1.025
6.937,1.009
6.947,0.9926
6.957,0.9844
6.967,0.9763
6.977,0.96
6.987,0.9519
6.997,0.9438
7.007,0.9275
7.017,0.9112
7.027,0.9031
7.037,0.895
7.047,0.8787
7.057,0.8705
7.067,0.8624
7.077,0.8461
7.087,0.838
7.097,0.8299
7.107,0.8136
7.117,0.8136
7.127,0.7973
7.137,0.7892
7.147,0.781
7.157,0.7648
7.167,0.7566
7.177,0.7485
7.187,0.7404
7.197,0.7322
7.207,0.7241
7.217,0.716
7.227,0.6997
7.237,0.6916
7.247,0.6834
7.257,0.6753
7.267,0.6671
7.277,0.659
7.287,0.6509
7.297,0.6427
7.307,0.6346
7.317,0.6265
7.327,0.6183
7.337,0.6102
7.347,0.5939
7.357,0.5939
7.367,0.5776
7.377,0.5695
7.387,0.5614
7.397,0.5532
7.407,0.5451
7.417,0.537
7.427,0.5288
7.437,0.5288
7.447,0.5207
7.457,0.5126
7.467,0.5044
7.477,0.4963
7.487,0.4963
7.497,0.4882
7.508,0.48
7.518,0.4719
7.528,0.4637
7.538,0.4637
7.548,0.4556
7.558,0.4475
7.568,0.4393
7.578,0.4312
7.588,0.4312
7.598,0.4231
7.608,0.4149
7.618,0.4149
7.628,0.4068
7.638,0.3987
7.648,0.3987
7.658,0.3905
7.668,0.3824
7.678,0.3824
7.688,0.3661
7.698,0.3661
7.708,0.3661
7.718,0.3498
7.728,0.3498
7.738,0.3417
7.748,0.3336
7.758,0.3336
7.768,0.3254
7.778,0.3173
7.788,0.3173
7.798,0.3092
7.808,0.301
7.818,0.301
7.828,0.2929
7.838,0.2848
7.848,0.2848
7.858,0.2766
7.868,0.2685
7.878,0.2685
7.888,0.2603
7.898,0.2522
7.908,0.2522
7.918,0.2441
7.928,0.2359
7.938,0.2359
7.948,0.2359
7.958,0.2197
7.968,0.2197
7.978,0.2197
7.988,0.2115
7.998,0.2034
8.008,0.2034
8.018,0.2034
8.028,0.2034
8.038,0.1871
8.048,0.1871
8.058,0.1871
8.068,0.1871
8.078,0.1871
8.088,0.1709
8.098,0.1709
8.108,0.1709
8.118,0.1709
8.128,0.1709
8.138,0.1709
8.148,0.1546
8.158,0.1546
8.168,0.1546
8.178,0.1546
8.188,0.1546
8.198,0.1546
8.208,0.1546
8.218,0.1546
8.228,0.1546
8.238,0.1383
8.248,0.1383
8.258,0.1383
8.268,0.1383
8.278,0.1383
8.288,0.1383
8.298,0.1383
8.308,0.1383
8.318,0.122
8.328,0.122
8.338,0.122
8.348,0.122
8.358,0.122
8.368,0.122
8.378,0.122
8.388,0.122
8.398,0.122
8.408,0.122
8.418,0.122
8.428,0.122
8.438,0.122
8.448,0.1058
8.458,0.1058
8.468,0.1058
8.478,0.1058
