#angle[arcmin],effectiveArea
#extracted from the ESA XMM's X-ray Telescopes PDF. See plots in org/Figs/XMM_Newton for raw
-20,0
-19.98,0
-19.96,0
-19.94,0
-19.92,0.3148
-19.91,0.3144
-19.89,0.3144
-19.87,0.3144
-19.85,0.3148
-19.83,0.3144
-19.81,0.3144
-19.79,0.3148
-19.77,0.3152
-19.76,0.3152
-19.74,0.3152
-19.72,0.3152
-19.7,0.316
-19.68,0.316
-19.66,0.316
-19.64,0.316
-19.62,0.3168
-19.6,0.3168
-19.59,0.3168
-19.57,0.3168
-19.55,0.3175
-19.53,0.3175
-19.51,0.3175
-19.49,0.3175
-19.47,0.3183
-19.45,0.3183
-19.44,0.3183
-19.42,0.3183
-19.4,0.3191
-19.38,0.3191
-19.36,0.3191
-19.34,0.3191
-19.32,0.3199
-19.3,0.3199
-19.28,0.3199
-19.27,0.3203
-19.25,0.3207
-19.23,0.3207
-19.21,0.3207
-19.19,0.3215
-19.17,0.3215
-19.15,0.3215
-19.13,0.3218
-19.12,0.3222
-19.1,0.3222
-19.08,0.3226
-19.06,0.323
-19.04,0.323
-19.02,0.323
-19,0.3238
-18.98,0.3238
-18.96,0.3238
-18.95,0.3242
-18.93,0.3246
-18.91,0.3246
-18.89,0.325
-18.87,0.3254
-18.85,0.3254
-18.83,0.3258
-18.81,0.3262
-18.8,0.3262
-18.78,0.3265
-18.76,0.3269
-18.74,0.3269
-18.72,0.3273
-18.7,0.3277
-18.68,0.3277
-18.66,0.3281
-18.64,0.3285
-18.63,0.3285
-18.61,0.3289
-18.59,0.3293
-18.57,0.3297
-18.55,0.3301
-18.53,0.3301
-18.51,0.3305
-18.49,0.3309
-18.48,0.3309
-18.46,0.3312
-18.44,0.3316
-18.42,0.332
-18.4,0.332
-18.38,0.3324
-18.36,0.3328
-18.34,0.3332
-18.32,0.3332
-18.31,0.3336
-18.29,0.334
-18.27,0.3344
-18.25,0.3344
-18.23,0.3348
-18.21,0.3352
-18.19,0.3356
-18.17,0.3359
-18.16,0.3359
-18.14,0.3363
-18.12,0.3367
-18.1,0.3371
-18.08,0.3375
-18.06,0.3375
-18.04,0.3379
-18.02,0.3383
-18,0.3387
-17.99,0.3391
-17.97,0.3391
-17.95,0.3399
-17.93,0.3399
-17.91,0.3403
-17.89,0.3406
-17.87,0.341
-17.85,0.3414
-17.84,0.3414
-17.82,0.3422
-17.8,0.3422
-17.78,0.3426
-17.76,0.343
-17.74,0.3434
-17.72,0.3438
-17.7,0.3438
-17.68,0.3446
-17.67,0.3446
-17.65,0.3453
-17.63,0.3453
-17.61,0.3461
-17.59,0.3461
-17.57,0.3465
-17.55,0.3469
-17.53,0.3469
-17.52,0.3477
-17.5,0.3477
-17.48,0.3485
-17.46,0.3485
-17.44,0.3493
-17.42,0.3493
-17.4,0.35
-17.38,0.35
-17.36,0.3508
-17.35,0.3508
-17.33,0.3516
-17.31,0.3516
-17.29,0.3524
-17.27,0.3524
-17.25,0.3532
-17.23,0.3532
-17.21,0.354
-17.2,0.354
-17.18,0.3547
-17.16,0.3547
-17.14,0.3551
-17.12,0.3555
-17.1,0.3559
-17.08,0.3563
-17.06,0.3571
-17.04,0.3571
-17.03,0.3579
-17.01,0.3579
-16.99,0.3587
-16.97,0.3587
-16.95,0.3594
-16.93,0.3594
-16.91,0.3602
-16.89,0.3602
-16.88,0.361
-16.86,0.361
-16.84,0.3618
-16.82,0.3622
-16.8,0.3626
-16.78,0.363
-16.76,0.3634
-16.74,0.3637
-16.72,0.3641
-16.71,0.3645
-16.69,0.3649
-16.67,0.3657
-16.65,0.3657
-16.63,0.3665
-16.61,0.3669
-16.59,0.3673
-16.57,0.3677
-16.56,0.3681
-16.54,0.3684
-16.52,0.3688
-16.5,0.3692
-16.48,0.37
-16.46,0.3704
-16.44,0.3708
-16.42,0.3712
-16.4,0.3716
-16.39,0.372
-16.37,0.3724
-16.35,0.3731
-16.33,0.3735
-16.31,0.3739
-16.29,0.3743
-16.27,0.3747
-16.25,0.3755
-16.24,0.3755
-16.22,0.3763
-16.2,0.3767
-16.18,0.3771
-16.16,0.3774
-16.14,0.3778
-16.12,0.3786
-16.1,0.379
-16.08,0.3794
-16.07,0.3802
-16.05,0.3802
-16.03,0.381
-16.01,0.3814
-15.99,0.3818
-15.97,0.3825
-15.95,0.3825
-15.93,0.3833
-15.92,0.3837
-15.9,0.3841
-15.88,0.3849
-15.86,0.3849
-15.84,0.3857
-15.82,0.3865
-15.8,0.3865
-15.78,0.3872
-15.76,0.388
-15.75,0.388
-15.73,0.3888
-15.71,0.3888
-15.69,0.3896
-15.67,0.3904
-15.65,0.3904
-15.63,0.3912
-15.61,0.3919
-15.6,0.3919
-15.58,0.3927
-15.56,0.3935
-15.54,0.3935
-15.52,0.3943
-15.5,0.3951
-15.48,0.3951
-15.46,0.3958
-15.44,0.3962
-15.43,0.3966
-15.41,0.3974
-15.39,0.3978
-15.37,0.3982
-15.35,0.399
-15.33,0.3994
-15.31,0.3998
-15.29,0.4005
-15.28,0.4009
-15.26,0.4013
-15.24,0.4021
-15.22,0.4025
-15.2,0.4029
-15.18,0.4037
-15.16,0.4041
-15.14,0.4045
-15.12,0.4052
-15.11,0.406
-15.09,0.4064
-15.07,0.4068
-15.05,0.4076
-15.03,0.408
-15.01,0.4084
-14.99,0.4092
-14.97,0.4096
-14.96,0.4099
-14.94,0.4107
-14.92,0.4111
-14.9,0.4119
-14.88,0.4123
-14.86,0.4131
-14.84,0.4135
-14.82,0.4139
-14.8,0.4146
-14.79,0.415
-14.77,0.4158
-14.75,0.4162
-14.73,0.417
-14.71,0.4174
-14.69,0.4182
-14.67,0.4186
-14.65,0.419
-14.64,0.4197
-14.62,0.4201
-14.6,0.4209
-14.58,0.4213
-14.56,0.4221
-14.54,0.4225
-14.52,0.4233
-14.5,0.4236
-14.48,0.4244
-14.47,0.4248
-14.45,0.4252
-14.43,0.426
-14.41,0.4268
-14.39,0.4272
-14.37,0.4276
-14.35,0.4283
-14.33,0.4291
-14.32,0.4295
-14.3,0.4299
-14.28,0.4307
-14.26,0.4315
-14.24,0.4323
-14.22,0.4323
-14.2,0.433
-14.18,0.4338
-14.16,0.4346
-14.15,0.4346
-14.13,0.4354
-14.11,0.4362
-14.09,0.437
-14.07,0.4374
-14.05,0.4377
-14.03,0.4385
-14.01,0.4393
-14,0.4401
-13.98,0.4401
-13.96,0.4409
-13.94,0.4417
-13.92,0.4424
-13.9,0.4432
-13.88,0.4432
-13.86,0.444
-13.84,0.4448
-13.83,0.4456
-13.81,0.4464
-13.79,0.4464
-13.77,0.4471
-13.75,0.4479
-13.73,0.4487
-13.71,0.4495
-13.69,0.4495
-13.68,0.4503
-13.66,0.4511
-13.64,0.4518
-13.62,0.4522
-13.6,0.453
-13.58,0.4534
-13.56,0.4542
-13.54,0.455
-13.52,0.4558
-13.51,0.4561
-13.49,0.4569
-13.47,0.4573
-13.45,0.4581
-13.43,0.4589
-13.41,0.4597
-13.39,0.4601
-13.37,0.4605
-13.36,0.4612
-13.34,0.462
-13.32,0.4628
-13.3,0.4632
-13.28,0.464
-13.26,0.4648
-13.24,0.4652
-13.22,0.4659
-13.2,0.4667
-13.19,0.4671
-13.17,0.4679
-13.15,0.4687
-13.13,0.4695
-13.11,0.4699
-13.09,0.4706
-13.07,0.4714
-13.05,0.4718
-13.04,0.4726
-13.02,0.4734
-13,0.4742
-12.98,0.4745
-12.96,0.4753
-12.94,0.4761
-12.92,0.4765
-12.9,0.4773
-12.88,0.4781
-12.87,0.4789
-12.85,0.4796
-12.83,0.48
-12.81,0.4808
-12.79,0.4812
-12.77,0.482
-12.75,0.4828
-12.73,0.4836
-12.72,0.4843
-12.7,0.4851
-12.68,0.4859
-12.66,0.4863
-12.64,0.4871
-12.62,0.4875
-12.6,0.4883
-12.58,0.489
-12.56,0.4898
-12.55,0.4906
-12.53,0.4914
-12.51,0.4922
-12.49,0.493
-12.47,0.4933
-12.45,0.4937
-12.43,0.4945
-12.41,0.4953
-12.4,0.4961
-12.38,0.4969
-12.36,0.4977
-12.34,0.4984
-12.32,0.4992
-12.3,0.5
-12.28,0.5008
-12.26,0.5016
-12.24,0.5016
-12.23,0.5023
-12.21,0.5031
-12.19,0.5039
-12.17,0.5047
-12.15,0.5055
-12.13,0.5063
-12.11,0.507
-12.09,0.5078
-12.08,0.5086
-12.06,0.5094
-12.04,0.5102
-12.02,0.5106
-12,0.5114
-11.98,0.5121
-11.96,0.5129
-11.94,0.5133
-11.92,0.5141
-11.91,0.5149
-11.89,0.5157
-11.87,0.5164
-11.85,0.5172
-11.83,0.518
-11.81,0.5188
-11.79,0.5196
-11.77,0.5204
-11.76,0.5211
-11.74,0.5219
-11.72,0.5227
-11.7,0.5231
-11.68,0.5239
-11.66,0.5247
-11.64,0.5255
-11.62,0.5262
-11.6,0.527
-11.59,0.5278
-11.57,0.5286
-11.55,0.5294
-11.53,0.5301
-11.51,0.5309
-11.49,0.5317
-11.47,0.5325
-11.45,0.5333
-11.44,0.5341
-11.42,0.5348
-11.4,0.5356
-11.38,0.5364
-11.36,0.5372
-11.34,0.538
-11.32,0.5388
-11.3,0.5392
-11.28,0.5399
-11.27,0.5407
-11.25,0.5415
-11.23,0.5423
-11.21,0.5431
-11.19,0.5439
-11.17,0.5446
-11.15,0.5454
-11.13,0.5462
-11.12,0.547
-11.1,0.5478
-11.08,0.5486
-11.06,0.5493
-11.04,0.5505
-11.02,0.5513
-11,0.5521
-10.98,0.5529
-10.96,0.5536
-10.95,0.5544
-10.93,0.5552
-10.91,0.556
-10.89,0.5568
-10.87,0.5576
-10.85,0.5583
-10.83,0.5591
-10.81,0.5599
-10.8,0.5607
-10.78,0.5615
-10.76,0.5623
-10.74,0.563
-10.72,0.5638
-10.7,0.5646
-10.68,0.5654
-10.66,0.5662
-10.64,0.567
-10.63,0.5677
-10.61,0.5685
-10.59,0.5693
-10.57,0.5701
-10.55,0.5709
-10.53,0.5717
-10.51,0.5724
-10.49,0.5732
-10.48,0.5744
-10.46,0.5752
-10.44,0.576
-10.42,0.5771
-10.4,0.5779
-10.38,0.5787
-10.36,0.5795
-10.34,0.5803
-10.32,0.581
-10.31,0.5818
-10.29,0.5826
-10.27,0.5834
-10.25,0.5842
-10.23,0.585
-10.21,0.5857
-10.19,0.5865
-10.17,0.5877
-10.16,0.5885
-10.14,0.5893
-10.12,0.5901
-10.1,0.5908
-10.08,0.592
-10.06,0.5928
-10.04,0.5936
-10.02,0.5944
-10,0.5951
-9.986,0.5959
-9.967,0.5967
-9.948,0.5975
-9.929,0.5983
